producto,ciudad,precio,variabilidad,fecha,LATITUD,LONGITUD
Lulo,bucaramanga,4300,-0.04,01ago2023,7.155833544,-73.11156997
Lulo,cali,3300,0.02,01ago2023,3.399043723,-76.57649259
Lulo,cúcuta,5208,0,01ago2023,,
Lulo,ibagué,3747,-0.1,01ago2023,4.451921427,-75.252591
Lulo,medellín,3725,-0.13,01ago2023,6.257590259,-75.61103107
Lulo,neiva,4133,0.11,01ago2023,2.993360046,-75.27236232
Lulo,pereira,4267,-0.02,01ago2023,4.803662773,-75.79579093
Lulo,santa,n.d.,n.d.,01ago2023,,
Lulo,tunja,3733,-0.07,01ago2023,5.518472615,-73.37801856
Mandarina*,armenia,3000,0,01ago2023,6.163683758,-75.80995528
Mandarina*,armenia,3000,0,01ago2023,4.499501128,-75.72489985
Mandarina*,bogotá,5682,0.04,01ago2023,,
Mandarina*,bucaramanga,3315,0,01ago2023,7.155833544,-73.11156997
Mandarina*,cali,2500,-0.06,01ago2023,3.399043723,-76.57649259
Mandarina*,cúcuta,4800,0,01ago2023,,
Mandarina*,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Mandarina*,medellín,5100,0.12,01ago2023,6.257590259,-75.61103107
Mandarina*,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Mandarina*,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Mandarina*,santa,n.d.,n.d.,01ago2023,,
Mandarina*,tunja,3561,0.02,01ago2023,5.518472615,-73.37801856
Mango tommy,armenia,n.d.,n.d.,01ago2023,6.163683758,-75.80995528
Mango tommy,armenia,n.d.,n.d.,01ago2023,4.499501128,-75.72489985
Mango tommy,bogotá,8333,0.02,01ago2023,,
Mango tommy,bucaramanga,8533,0,01ago2023,7.155833544,-73.11156997
Mango tommy,cali,8400,0.18,01ago2023,3.399043723,-76.57649259
Mango tommy,cúcuta,5100,0.13,01ago2023,,
Mango tommy,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Mango tommy,medellín,8750,0.03,01ago2023,6.257590259,-75.61103107
Mango tommy,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Mango tommy,pereira,9000,0.32,01ago2023,4.803662773,-75.79579093
Mango tommy,santa,n.d.,n.d.,01ago2023,,
Mango tommy,tunja,5476,0.15,01ago2023,5.518472615,-73.37801856
Manzana royal gala,armenia,8421,0,01ago2023,6.163683758,-75.80995528
Manzana royal gala,armenia,8421,0,01ago2023,4.499501128,-75.72489985
Manzana royal gala,bogotá,9254,0,01ago2023,,
Manzana royal gala,bucaramanga,8038,-0.03,01ago2023,7.155833544,-73.11156997
Manzana royal gala,cali,7719,0.02,01ago2023,3.399043723,-76.57649259
Manzana royal gala,cúcuta,9167,0,01ago2023,,
Manzana royal gala,ibagué,9386,0.09,01ago2023,4.451921427,-75.252591
Manzana royal gala,medellín,8553,0.02,01ago2023,6.257590259,-75.61103107
Manzana royal gala,neiva,9158,0,01ago2023,2.993360046,-75.27236232
Manzana royal gala,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Manzana royal gala,santa,n.d.,n.d.,01ago2023,,
Manzana royal gala,tunja,8860,0.01,01ago2023,5.518472615,-73.37801856
Maracuyá,armenia,3000,0,01ago2023,6.163683758,-75.80995528
Maracuyá,armenia,3000,0,01ago2023,4.499501128,-75.72489985
Maracuyá,bogotá,2688,-0.11,01ago2023,,
Maracuyá,bucaramanga,2778,0.12,01ago2023,7.155833544,-73.11156997
Maracuyá,cali,3250,-0.07,01ago2023,3.399043723,-76.57649259
Maracuyá,cúcuta,3708,-0.3,01ago2023,,
Maracuyá,ibagué,3253,-0.03,01ago2023,4.451921427,-75.252591
Maracuyá,medellín,2363,0.13,01ago2023,6.257590259,-75.61103107
Maracuyá,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Maracuyá,pereira,3633,-0.17,01ago2023,4.803662773,-75.79579093
Maracuyá,santa,4167,n.d.,01ago2023,,
Maracuyá,tunja,4333,0.31,01ago2023,5.518472615,-73.37801856
Mora de Castilla,armenia,6000,0.18,01ago2023,6.163683758,-75.80995528
Mora de Castilla,armenia,6000,0.18,01ago2023,4.499501128,-75.72489985
Mora de Castilla,bogotá,4097,0,01ago2023,,
Mora de Castilla,bucaramanga,3480,0,01ago2023,7.155833544,-73.11156997
Mora de Castilla,cali,4000,0.09,01ago2023,3.399043723,-76.57649259
Mora de Castilla,cúcuta,3194,0.08,01ago2023,,
Mora de Castilla,ibagué,3850,-0.04,01ago2023,4.451921427,-75.252591
Mora de Castilla,medellín,3450,n.d.,01ago2023,6.257590259,-75.61103107
Mora de Castilla,neiva,2640,n.d.,01ago2023,2.993360046,-75.27236232
Mora de Castilla,pereira,4450,0.14,01ago2023,4.803662773,-75.79579093
Mora de Castilla,santa,4080,0.01,01ago2023,,
Mora de Castilla,tunja,4167,0,01ago2023,5.518472615,-73.37801856
Naranja*,armenia,n.d.,n.d.,01ago2023,6.163683758,-75.80995528
Naranja*,armenia,n.d.,n.d.,01ago2023,4.499501128,-75.72489985
Naranja*,bogotá,2325,0.02,01ago2023,,
Naranja*,bucaramanga,1220,0,01ago2023,7.155833544,-73.11156997
Naranja*,cali,n.d.,n.d.,01ago2023,3.399043723,-76.57649259
Naranja*,cúcuta,1931,-0.03,01ago2023,,
Naranja*,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Naranja*,medellín,2450,-0.18,01ago2023,6.257590259,-75.61103107
Naranja*,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Naranja*,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Naranja*,santa,n.d.,n.d.,01ago2023,,
Naranja*,tunja,1850,0.01,01ago2023,5.518472615,-73.37801856
Papaya maradol,armenia,1700,0,01ago2023,6.163683758,-75.80995528
Papaya maradol,armenia,1700,0,01ago2023,4.499501128,-75.72489985
Papaya maradol,bogotá,n.d.,n.d.,01ago2023,,
Papaya maradol,bucaramanga,2475,-0.07,01ago2023,7.155833544,-73.11156997
Papaya maradol,cali,2675,0.07,01ago2023,3.399043723,-76.57649259
Papaya maradol,cúcuta,3000,0,01ago2023,,
Papaya maradol,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Papaya maradol,medellín,3300,0.01,01ago2023,6.257590259,-75.61103107
Papaya maradol,neiva,3000,n.d.,01ago2023,2.993360046,-75.27236232
Papaya maradol,pereira,2633,-0.02,01ago2023,4.803662773,-75.79579093
Papaya maradol,santa,n.d.,n.d.,01ago2023,,
Papaya maradol,tunja,1800,0.01,01ago2023,5.518472615,-73.37801856
Piña *,armenia,2633,0,01ago2023,6.163683758,-75.80995528
Piña *,armenia,2633,0,01ago2023,4.499501128,-75.72489985
Piña *,bogotá,n.d.,n.d.,01ago2023,,
Piña *,bucaramanga,2000,0.03,01ago2023,7.155833544,-73.11156997
Piña *,cali,2800,0.04,01ago2023,3.399043723,-76.57649259
Piña *,cúcuta,2333,0,01ago2023,,
Piña *,ibagué,3400,0.02,01ago2023,4.451921427,-75.252591
Piña *,medellín,3625,0.09,01ago2023,6.257590259,-75.61103107
Piña *,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Piña *,pereira,4067,0.21,01ago2023,4.803662773,-75.79579093
Piña *,santa,n.d.,n.d.,01ago2023,,
Piña *,tunja,1722,0.03,01ago2023,5.518472615,-73.37801856
Tomate de árbol,armenia,4667,0,01ago2023,6.163683758,-75.80995528
Tomate de árbol,armenia,4667,0,01ago2023,4.499501128,-75.72489985
Tomate de árbol,bogotá,3660,0.01,01ago2023,,
Tomate de árbol,bucaramanga,3550,-0.03,01ago2023,7.155833544,-73.11156997
Tomate de árbol,cali,3575,0.01,01ago2023,3.399043723,-76.57649259
Tomate de árbol,cúcuta,4800,0,01ago2023,,
Tomate de árbol,ibagué,3820,-0.08,01ago2023,4.451921427,-75.252591
Tomate de árbol,medellín,3100,-0.09,01ago2023,6.257590259,-75.61103107
Tomate de árbol,neiva,3450,-0.04,01ago2023,2.993360046,-75.27236232
Tomate de árbol,pereira,3933,-0.06,01ago2023,4.803662773,-75.79579093
Tomate de árbol,santa,4500,-0.04,01ago2023,,
Tomate de árbol,tunja,3933,0,01ago2023,5.518472615,-73.37801856
Arracacha*,armenia,4000,0,01ago2023,6.163683758,-75.80995528
Arracacha*,armenia,4000,0,01ago2023,4.499501128,-75.72489985
Arracacha*,bogotá,3354,-0.13,01ago2023,,
Arracacha*,bucaramanga,3180,0,01ago2023,7.155833544,-73.11156997
Arracacha*,cali,n.d.,n.d.,01ago2023,3.399043723,-76.57649259
Arracacha*,cúcuta,4067,0.11,01ago2023,,
Arracacha*,ibagué,3307,0.13,01ago2023,4.451921427,-75.252591
Arracacha*,medellín,4438,-0.09,01ago2023,6.257590259,-75.61103107
Arracacha*,neiva,4293,0.21,01ago2023,2.993360046,-75.27236232
Arracacha*,pereira,4083,0,01ago2023,4.803662773,-75.79579093
Arracacha*,santa,n.d.,n.d.,01ago2023,,
Arracacha*,tunja,2889,-0.02,01ago2023,5.518472615,-73.37801856
Papa negra*,armenia,1200,0,01ago2023,6.163683758,-75.80995528
Papa negra*,armenia,1200,0,01ago2023,4.499501128,-75.72489985
Papa negra*,bogotá,1333,0.02,01ago2023,,
Papa negra*,bucaramanga,1175,0.01,01ago2023,7.155833544,-73.11156997
Papa negra*,cali,1110,0.08,01ago2023,3.399043723,-76.57649259
Papa negra*,cúcuta,n.d.,n.d.,01ago2023,,
Papa negra*,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Papa negra*,medellín,1750,0.15,01ago2023,6.257590259,-75.61103107
Papa negra*,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Papa negra*,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Papa negra*,santa,n.d.,n.d.,01ago2023,,
Papa negra*,tunja,n.d.,n.d.,01ago2023,5.518472615,-73.37801856
Papa criolla,armenia,3389,0,01ago2023,6.163683758,-75.80995528
Papa criolla,armenia,3389,0,01ago2023,4.499501128,-75.72489985
Papa criolla,bogotá,4083,0.05,01ago2023,,
Papa criolla,bucaramanga,2580,0,01ago2023,7.155833544,-73.11156997
Papa criolla,cali,n.d.,n.d.,01ago2023,3.399043723,-76.57649259
Papa criolla,cúcuta,3083,0.15,01ago2023,,
Papa criolla,ibagué,3333,0.06,01ago2023,4.451921427,-75.252591
Papa criolla,medellín,3600,0,01ago2023,6.257590259,-75.61103107
Papa criolla,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Papa criolla,pereira,3067,-0.02,01ago2023,4.803662773,-75.79579093
Papa criolla,santa,n.d.,n.d.,01ago2023,,
Papa criolla,tunja,2933,0,01ago2023,5.518472615,-73.37801856
Plátano guineo,armenia,n.d.,n.d.,01ago2023,6.163683758,-75.80995528
Plátano guineo,armenia,n.d.,n.d.,01ago2023,4.499501128,-75.72489985
Plátano guineo,bogotá,n.d.,n.d.,01ago2023,,
Plátano guineo,bucaramanga,n.d.,n.d.,01ago2023,7.155833544,-73.11156997
Plátano guineo,cali,n.d.,n.d.,01ago2023,3.399043723,-76.57649259
Plátano guineo,cúcuta,n.d.,n.d.,01ago2023,,
Plátano guineo,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
